Born on Date,Estimated Date of Emergence,Status,ACTUAL or ESTIMATED  DEWATER FLOW
6/13/2023,9/17/2023,EMERGED,6500
6/13/2023,9/17/2023,EMERGED,5000
6/22/2023,9/26/2023,EMERGED,5000
6/22/2023,9/26/2023,EMERGED,5000
6/22/2023,9/26/2023,EMERGED,6000
7/5/2023,10/9/2023,EMERGED,3500
7/12/2023,10/19/2023,OK,3250
7/12/2023,10/16/2023,OK,5000
7/5/2023,10/9/2023,EMERGED,5000
7/12/2023,10/16/2023,DEWATERED,6600
7/12/2023,10/16/2023,OK,5000
7/12/2023,10/16/2023,OK,4000
7/12/2023,10/16/2023,OK,5000
7/12/2023,10/16/2023,OK,4000
7/19/2023,10/23/2023,OK,4000
7/19/2023,10/19/2023,OK,4000
7/19/2023,10/23/2023,OK,4000
7/19/2023,10/23/2023,OK,4000
7/25/2023,11/1/2023,OK,4000
7/25/2023,10/29/2023,OK,4000
7/25/2023,10/29/2023,OK,4000
7/25/2023,10/29/2023,OK,4500
7/25/2023,10/29/2023,OK,4500
7/25/2023,10/29/2023,OK,5800
7/25/2023,10/29/2023,DEWATERED,6600
7/27/2023,10/31/2023,DEWATERED,6400
